date,open,high,low,close,volume
2017-10-06 03:54,4959400,4970100,4952800,4968100,109.06000000000002
2017-10-06 04:03,4967200,4969900,4957700,4957700,88.57000000000001
2017-10-06 04:11,4967800,4971700,4959700,4969100,92.35
2017-10-06 04:20,4967200,4975500,4959500,4963700,58.42
2017-10-06 04:30,4962400,4971700,4952900,4967200,48.21
2017-10-06 04:34,4969200,4971300,4956000,4960400,58.83000000000001
2017-10-06 04:37,4966600,4970500,4954900,4969600,51.1
2017-10-06 04:40,4971000,4972500,4959500,4972200,108.69999999999999
2017-10-06 04:43,4968200,4973800,4966800,4968700,99.00999999999998
2017-10-06 04:47,4969000,4980400,4962800,4972600,95.57
2017-10-06 04:53,4972200,4973700,4967400,4973500,167.93
2017-10-06 05:00,4971000,4975200,4968900,4970000,158.48999999999998
2017-10-06 05:03,4969800,4978600,4964300,4964800,65.75999999999999
2017-10-06 05:06,4965800,4977000,4962100,4969000,66.81
2017-10-06 05:09,4970400,4978200,4959200,4978200,91.54
2017-10-06 05:16,4961000,4982000,4956700,4965400,39.26
2017-10-06 05:21,4965200,4974300,4962500,4965200,57.620000000000005
2017-10-06 05:24,4966200,4974100,4959200,4969900,75.56
2017-10-06 05:27,4968000,4975500,4956800,4962700,80.67999999999999
2017-10-06 05:31,4965000,4970200,4957700,4957700,97.52000000000001
2017-10-06 05:34,4960900,4964700,4946400,4946400,132.95000000000002
2017-10-06 05:37,4950000,4962000,4950000,4953400,77.57000000000001
2017-10-06 05:39,4952100,4956200,4936500,4953700,73.04
2017-10-06 05:42,4948200,4956700,4940000,4941300,69.88
2017-10-06 05:45,4942500,4946100,4933000,4942100,78
2017-10-06 05:48,4939700,4949700,4937900,4943600,82.42999999999999
2017-10-06 05:51,4947100,4949900,4939600,4944100,102.80000000000001
2017-10-06 05:55,4945100,4948500,4935600,4944100,74.10000000000001
2017-10-06 05:59,4944200,4954000,4938900,4945300,57.91
2017-10-06 06:03,4948900,4953800,4942500,4946800,79.39
2017-10-06 06:06,4946800,4957900,4940300,4950600,54.550000000000004
2017-10-06 06:08,4944500,4959700,4944500,4949500,56.02000000000001
2017-10-06 06:12,4955600,4958600,4944200,4948500,61.17
2017-10-06 06:18,4951000,4957100,4937200,4947800,49.449999999999996
2017-10-06 06:21,4950300,4962400,4945200,4952800,96.24
2017-10-06 06:25,4953700,4965800,4949000,4960300,58.25
2017-10-06 06:28,4960400,4969400,4952200,4954700,88.32
2017-10-06 06:30,4952300,4959500,4946200,4955900,75.78
2017-10-06 06:33,4955300,4961100,4944200,4958200,67.52000000000001
2017-10-06 06:36,4956900,4961600,4953900,4956800,101.49
2017-10-06 06:39,4953000,4959900,4953000,4954000,71.14999999999999
2017-10-06 06:43,4959800,4963000,4946200,4957000,52.22999999999998
2017-10-06 06:47,4957800,4963100,4949800,4950500,42.39
2017-10-06 06:51,4958900,4958900,4945300,4948900,75.89999999999999
2017-10-06 06:55,4953800,4957400,4941900,4947500,66.14
2017-10-06 06:59,4949400,4954900,4940900,4943600,68.25999999999999
2017-10-06 07:02,4946800,4949100,4937500,4945900,66.39
2017-10-06 07:05,4950700,4957700,4944400,4957700,89.89
2017-10-06 07:08,4953800,4954700,4938400,4946700,80.16000000000001
2017-10-06 07:12,4938300,4958500,4938300,4949800,90.59
2017-10-06 07:15,4948300,4956400,4948100,4950100,115.61999999999999
2017-10-06 07:18,4957000,4957000,4945200,4954800,100.57000000000001
2017-10-06 07:21,4951500,4955100,4943100,4955100,64.44000000000001
2017-10-06 07:24,4955200,4959600,4948900,4948900,65.31
2017-10-06 07:28,4947900,4955900,4944600,4948500,73.13
2017-10-06 07:30,4950600,4957800,4942200,4952900,74.46
2017-10-06 07:33,4954000,4961600,4953800,4961600,125.97000000000001
2017-10-06 07:37,4960300,4961900,4954700,4960200,110.44000000000001
2017-10-06 07:41,4963000,4967300,4955900,4964400,72.2
2017-10-06 07:45,4964300,4966600,4958600,4964100,97.07000000000002
2017-10-06 07:49,4960200,4970200,4957200,4967900,91.15
2017-10-06 07:52,4969600,4972800,4965300,4970400,112.78999999999999
2017-10-06 07:56,4974400,4974400,4964000,4969600,130.85
2017-10-06 08:00,4970000,4971700,4966700,4967500,144.17
2017-10-06 08:02,4968300,4973900,4966100,4967000,95.41999999999999
2017-10-06 08:07,4971700,4975500,4959900,4962800,73.93
2017-10-06 08:11,4963500,4975100,4962200,4962200,85.95
2017-10-06 08:15,4966500,4978400,4957400,4974300,43.49
2017-10-06 08:17,4963700,4974200,4957500,4957500,107.99000000000001
2017-10-06 08:20,4960700,4966200,4950000,4956700,108.78
2017-10-06 08:24,4944100,4957400,4943600,4947700,90.83000000000001
2017-10-06 08:27,4946000,4958000,4940100,4946700,49.74
2017-10-06 08:30,4944900,4955300,4934600,4946900,55.64999999999999
2017-10-06 08:33,4953300,4953300,4930600,4935800,107.06
2017-10-06 08:37,4938500,4947100,4933100,4945300,58.059999999999995
2017-10-06 08:40,4945600,4945600,4934200,4935200,81.25
2017-10-06 08:44,4934200,4943600,4930100,4943600,68.46000000000001
2017-10-06 08:48,4944100,4950100,4935100,4944700,55.190000000000005
2017-10-06 08:52,4950000,4951400,4939600,4939600,83.82000000000001
2017-10-06 08:54,4946900,4947700,4935900,4937000,80.67000000000002
2017-10-06 08:58,4938000,4945900,4936700,4939700,140.92
2017-10-06 09:02,4947900,4947900,4935400,4941600,73.31
2017-10-06 09:06,4941300,4946700,4939600,4942000,81.36000000000001
2017-10-06 09:10,4939000,4946000,4931600,4938200,79.74
2017-10-06 09:13,4937500,4947600,4935100,4946800,106.62
2017-10-06 09:16,4942800,4959300,4942600,4946900,85.43
2017-10-06 09:21,4941500,4961100,4935300,4944000,54.800000000000004
2017-10-06 09:24,4941600,4945100,4937000,4937400,81.78
2017-10-06 09:28,4937300,4943700,4935100,4940500,82.91999999999999
2017-10-06 09:31,4941500,4941600,4932800,4936500,103.91999999999999
2017-10-06 09:35,4934800,4939200,4929400,4936900,121.49
2017-10-06 09:39,4937100,4941100,4931200,4940100,99
2017-10-06 09:42,4938200,4944500,4935000,4942000,111.75
2017-10-06 09:45,4945800,4952100,4938000,4947400,120.81
2017-10-06 09:48,4953100,4955100,4944700,4947800,80.74999999999999
2017-10-06 09:51,4953300,4962500,4946700,4952400,120.71999999999998
2017-10-06 09:55,4954600,4960000,4950200,4959800,125.53
2017-10-06 09:58,4961100,4961600,4951200,4956000,76.26
2017-10-06 10:02,4956100,4968600,4956100,4964300,141.28000000000003
2017-10-06 10:05,4960400,4973200,4960400,4969800,140.97
2017-10-06 10:07,4974400,4976100,4968000,4975400,104.69999999999999
2017-10-06 10:10,4969700,4981200,4960300,4971300,53.1
2017-10-06 10:13,4973600,4973600,4963600,4968700,136.98
2017-10-06 10:17,4968800,4975000,4962500,4972300,76.82
2017-10-06 10:20,4971000,4976200,4964900,4976200,106.43
2017-10-06 10:23,4967500,4975200,4961300,4967800,76.7
2017-10-06 10:26,4967500,4971300,4961100,4963700,83.33000000000001
2017-10-06 10:30,4961500,4967100,4949100,4960500,103.7
2017-10-06 10:33,4956800,4958300,4946700,4949500,103.73
2017-10-06 10:36,4960300,4964100,4953800,4957900,108.19000000000001
2017-10-06 10:39,4961400,4963000,4952600,4953700,182.34
2017-10-06 10:43,4952800,4962300,4952800,4961100,93.13
2017-10-06 10:46,4959000,4963200,4954700,4955300,81.21
2017-10-06 10:49,4955300,4964200,4951100,4956800,101.03
2017-10-06 10:52,4964200,4964200,4948200,4958000,65.84
2017-10-06 10:55,4961600,4963100,4954800,4960600,85
2017-10-06 10:59,4958500,4966100,4952500,4961500,65.17
2017-10-06 10:59,4967800,4968300,4954600,4964500,22.76
