date,open,high,low,close,volume,shortEma,longEma
2017-09-19 20:42,4418000,4420000,4407000,4411000,18638.2674237,4439066.67,4428933.33
2017-09-19 21:45,4416000,4420000,4411000,4420000,17487.37419316,4437066.67,4429200
2017-09-19 21:52,4411000,4420000,4404000,4404000,17260.09357084,4433600,4428933.33
2017-09-19 22:06,4404000,4409000,4386000,4389000,17045.03053154,4429200,4428166.67
2017-09-19 22:20,4389000,4393000,4379000,4379000,16906.16432925,4424600,4427133.33
2017-09-19 22:33,4379000,4395000,4379000,4391000,16752.08548462,4421266.67,4426533.33
2017-09-19 22:33,4380000,4395000,4380000,4389000,16753.78743193,4417466.67,4425866.67
2017-09-19 22:34,4380000,4395000,4380000,4393000,16737.02738238,4414066.67,4425333.33
2017-09-19 22:41,4391000,4393000,4376000,4389000,16684.25717107,4410666.67,4424633.33
2017-09-19 22:51,4386000,4391000,4384000,4384000,16564.0057719,4406200,4423733.33
2017-09-19 23:00,4386000,4386000,4363000,4363000,16525.21525948,4400533.33,4422166.67
2017-09-19 23:04,4378000,4385000,4363000,4385000,16509.07125811,4397066.67,4420966.67
2017-09-19 23:08,4366000,4385000,4363000,4371000,16529.63214951,4393466.67,4418500
2017-09-19 23:14,4385000,4395000,4371000,4385000,16501.79623828,4391266.67,4417100
2017-09-19 23:20,4385000,4395000,4385000,4394000,16442.68458147,4389800,4415633.33
2017-09-19 23:26,4386000,4394000,4386000,4388000,16335.02364244,4388266.67,4413666.67
2017-09-19 23:50,4394000,4419000,4387000,4419000,15754.64659621,4388200,4412633.33
2017-09-19 23:54,4388000,4419000,4387000,4410000,15635.99384273,4388600,4411100
2017-09-20 00:00,4419000,4419000,4403000,4403000,15614.2238103,4389533.33,4409366.67
2017-09-20 00:06,4412000,4412000,4392000,4392000,15465.6055103,4390400,4407500
2017-09-20 00:13,4402000,4402000,4391000,4401000,15375.67922277,4391066.67,4406166.67
2017-09-20 00:19,4391000,4402000,4391000,4396000,15316.85401744,4391533.33,4404500
2017-09-20 00:25,4402000,4402000,4395000,4395000,15217.01825614,4391666.67,4402866.67
2017-09-20 00:31,4399000,4399000,4395000,4395000,15167.21699315,4392066.67,4401366.67
2017-09-20 00:37,4399000,4399000,4395000,4398000,15002.09406809,4393000,4399600
2017-09-20 00:43,4396000,4398000,4396000,4398000,14975.41145718,4395333.33,4397933.33
2017-09-20 00:49,4398000,4424000,4397000,4424000,15002.94220416,4397933.33,4397500
2017-09-20 00:55,4397000,4425000,4397000,4422000,14947.38332084,4401333.33,4397400
2017-09-20 01:01,4416000,4425000,4411000,4411000,14972.72137169,4403066.67,4397166.67
2017-09-20 01:07,4419000,4419000,4406000,4409000,14946.27510607,4404066.67,4396933.33
2017-09-20 01:13,4409000,4411000,4400000,4403000,14904.72865537,4405066.67,4396666.67
2017-09-20 01:19,4400000,4404000,4393000,4399000,14883.54340229,4403733.33,4395966.67
2017-09-20 01:25,4396000,4401000,4393000,4396000,14835.28691985,4402800,4395700
2017-09-20 01:31,4395000,4401000,4395000,4398000,14826.21104613,4402466.67,4396000
2017-09-20 01:37,4397000,4404000,4397000,4399000,14814.28170812,4402933.33,4396666.67
2017-09-20 01:43,4398000,4408000,4397000,4408000,14797.70081797,4403400,4397233.33
2017-09-20 01:49,4401000,4408000,4401000,4405000,14766.27715125,4404000,4397766.67
2017-09-20 01:55,4403000,4406000,4396000,4396000,14610.04675013,4404066.67,4397866.67
2017-09-20 02:01,4403000,4403000,4396000,4402000,14602.10519192,4404533.33,4398300
2017-09-20 02:07,4401000,4416000,4398000,4416000,14598.82302172,4405733.33,4399366.67
2017-09-20 02:13,4404000,4419000,4404000,4412000,14615.10584463,4406666.67,4401000
2017-09-20 02:19,4416000,4422000,4412000,4422000,14626.92118937,4406533.33,4402233.33
2017-09-20 02:25,4417000,4423000,4411000,4411000,14596.61337821,4405800,4403566.67
2017-09-20 02:31,4423000,4426000,4411000,4426000,14641.10475255,4406800,4404933.33
2017-09-20 02:37,4414000,4428000,4414000,4424000,14674.31227969,4407800,4405933.33
2017-09-20 02:43,4421000,4428000,4421000,4425000,14711.64100529,4409266.67,4407166.67
2017-09-20 02:49,4423000,4434000,4409000,4421000,14754.32676168,4410733.33,4407233.33
2017-09-20 02:55,4434000,4434000,4409000,4430000,14774.57399367,4413000,4407900
2017-09-20 03:01,4415000,4431000,4410000,4413000,14764.41808151,4414000,4408233.33
2017-09-20 03:07,4422000,4422000,4410000,4417000,14763.59310651,4415200,4409066.67
2017-09-20 03:14,4412000,4425000,4410000,4425000,14766.11287454,4416333.33,4409866.67
2017-09-20 03:20,4423000,4426000,4422000,4424000,14767.58131537,4417600,4410800
2017-09-20 03:26,4424000,4426000,4423000,4426000,14763.68392901,4419600,4411833.33
2017-09-20 03:32,4423000,4432000,4423000,4432000,14812.27684818,4421600,4413066.67
2017-09-20 03:38,4428000,4432000,4428000,4431000,14827.59571361,4422600,4414166.67
2017-09-20 03:44,4432000,4433000,4425000,4425000,14867.04840738,4423466.67,4415066.67
2017-09-20 03:50,4433000,4433000,4420000,4425000,14857.43901526,4423666.67,4415100
2017-09-20 03:56,4420000,4425000,4411000,4413000,14877.4794417,4423800,4414800
2017-09-20 04:02,4411000,4414000,4411000,4413000,14863.6428299,4422933.33,4414866.67
2017-09-20 04:08,4414000,4414000,4408000,4408000,14853.76086252,4421866.67,4414833.33
2017-09-20 07:17,4412000,4413000,4383000,4383000,15282.90040032,4419066.67,4414000
2017-09-20 07:44,4413000,4413000,4383000,4410000,15155.25139715,4418333.33,4414900
2017-09-20 07:56,4410000,4412000,4383000,4404000,15087.7006824,4416600,4414933.33
2017-09-20 08:29,4408000,4422000,4383000,4422000,14993.90397527,4417200,4415533.33
2017-09-20 08:41,4412000,4422000,4402000,4402000,15005.7159569,4416200,4415633.33
2017-09-20 08:58,4407000,4407000,4400000,4400000,14978.07313255,4414533.33,4415766.67
2017-09-20 09:02,4401000,4402000,4382000,4382000,14993.95179924,4411733.33,4415233.33
2017-09-20 09:05,4400000,4402000,4380000,4380000,14970.64028597,4408666.67,4414600
2017-09-20 09:07,4402000,4402000,4380000,4386000,14970.22068597,4405600,4414800
2017-09-20 09:10,4400000,4400000,4380000,4381000,14951.35860249,4402266.67,4413900
2017-09-20 09:10,4400000,4400000,4380000,4382000,14946.31876881,4399400,4413933.33
2017-09-20 09:12,4391000,4391000,4380000,4383000,14934.71293403,4396600,4413966.67
2017-09-20 09:15,4382000,4386000,4380000,4383000,14904.88167301,4394600,4413966.67
2017-09-20 09:21,4381000,4389000,4381000,4389000,14855.96823718,4393000,4413433.33
2017-09-20 09:29,4383000,4389000,4382000,4388000,14870.93453682,4391666.67,4413166.67
2017-09-20 09:37,4386000,4404000,4382000,4404000,14775.30651144,4393066.67,4413233.33
2017-09-20 09:45,4383000,4404000,4382000,4402000,14724.48383019,4392533.33,4412766.67
